City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
170,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
171,Tefé,BR,87.91,broken clouds,-3.3542,-64.7114,Aracati Hotel
172,Front Royal,US,64.58,moderate rain,38.9182,-78.1944,Hampton Inn Front Royal
173,Ubaitaba,BR,87.51,few clouds,-14.3125,-39.3233,Pousada Paraíso
175,Sokoni,TZ,82.26,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
176,Manokwari,ID,78.06,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
177,George Town,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
178,Along,IN,67.8,light rain,28.1667,94.7667,Hotel West
182,Vila Velha,BR,85.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
183,Vao,NC,75.42,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
184,Atyrau,KZ,60.82,clear sky,47.1167,51.8833,River Palace Hotel
185,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
186,Hamilton,US,75.09,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
188,Korla,CN,63.55,overcast clouds,41.7597,86.1469,Gulisitan Hotel
189,Morgan City,US,69.8,light rain,29.6994,-91.2068,Hampton Inn & Suites Morgan City
193,Shache,CN,67.26,scattered clouds,38.4167,77.2406,Delong Hotel
194,Waddān,LY,89.44,clear sky,29.1614,16.139,محل الشريف محمد العايب
195,Safi,MA,68.02,clear sky,32.2994,-9.2372,Hôtel Abda
196,Huarmey,PE,70.59,few clouds,-10.0681,-78.1522,Hotel Miramar
197,Castro,BR,72.93,few clouds,-24.7911,-50.0119,CHACARA BAILLY
199,Kununurra,AU,85.98,clear sky,-15.7667,128.7333,Hotel Kununurra
200,Piaçabuçu,BR,83.57,broken clouds,-10.4056,-36.4344,Piaçabuçu News
201,Stephenville,US,77.94,overcast clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
202,Wewak,PG,79.48,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
203,Breves,BR,79.72,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
204,Esim,GH,83.37,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
205,Bereda,ES,62.42,scattered clouds,43.2686,-7.5406,Pazo de Verdes
207,Isangel,VU,78.71,overcast clouds,-19.55,169.2667,Tanna Lodge
210,San Miguel De Cozumel,MX,85.95,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
211,Fes,MA,82.65,clear sky,34.0372,-4.9998,Hotel Mounia Fès
212,Kirakira,SB,79.12,overcast clouds,-10.4544,161.9205,SanBiz Lodge
