City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Flinders,AU,-34.5833,150.8552,56.17,89,8,3.0,clear sky
199,Kununurra,AU,-15.7667,128.7333,85.98,37,9,11.5,clear sky
200,Piaçabuçu,BR,-10.4056,-36.4344,83.57,60,59,12.95,broken clouds
201,Stephenville,US,32.2207,-98.2023,77.94,33,100,10.36,overcast clouds
202,Wewak,PG,-3.5534,143.6268,79.48,86,94,8.48,overcast clouds
203,Breves,BR,-1.6822,-50.4803,79.72,92,86,3.15,overcast clouds
204,Esim,GH,4.8699,-2.2405,83.37,74,100,8.5,overcast clouds
205,Bereda,ES,43.2686,-7.5406,62.42,82,45,5.97,scattered clouds
206,Okhotsk,RU,59.3833,143.3,31.93,90,43,2.48,scattered clouds
207,Isangel,VU,-19.55,169.2667,78.71,89,100,3.94,overcast clouds
208,Srednekolymsk,RU,67.45,153.6833,26.73,97,100,1.7,overcast clouds
209,Huntley,US,42.1681,-88.4281,50.41,84,100,8.99,overcast clouds
210,San Miguel De Cozumel,MX,20.5083,-86.9458,85.95,71,2,10.0,clear sky
211,Fes,MA,34.0372,-4.9998,82.65,16,0,12.66,clear sky
212,Kirakira,SB,-10.4544,161.9205,79.12,84,100,5.73,overcast clouds
213,Beisfjord,NO,68.3751,17.5988,36.05,98,100,5.64,overcast clouds
214,Salinópolis,BR,-0.6136,-47.3561,81.39,78,79,6.78,broken clouds
215,Hofn,IS,64.2539,-15.2082,46.42,81,75,16.11,broken clouds
216,Hervey Bay,AU,-25.2986,152.8535,67.01,93,93,4.0,overcast clouds
217,Coquimbo,CL,-29.9533,-71.3436,56.93,88,75,12.66,broken clouds
218,Urusha,RU,54.05,122.9,36.32,36,100,2.15,overcast clouds
219,Quthing,LS,-30.4,27.7003,54.21,52,1,1.88,clear sky
220,Sitka,US,57.0531,-135.33,43.12,92,100,5.61,light rain
221,Lüderitz,NA,-26.6481,15.1594,67.12,43,0,8.05,clear sky
222,Sola,VU,-13.8833,167.55,81.75,71,100,2.08,overcast clouds
223,Privolnyy,RU,44.0998,46.6587,53.8,71,81,7.9,broken clouds
224,Guerrero Negro,MX,27.9769,-114.0611,66.27,62,8,10.67,clear sky
225,Bahía Blanca,AR,-38.7196,-62.2724,57.25,51,28,6.64,scattered clouds
226,Nizhnyaya Tura,RU,58.6293,59.8118,33.28,69,33,10.58,scattered clouds
227,Maliq,AL,40.7058,20.6997,52.54,84,93,7.07,light rain
228,Linkou,CN,45.3,130.2833,36.95,90,100,4.92,overcast clouds
229,Makkah Al Mukarramah,SA,21.4267,39.8261,88.38,46,0,5.39,clear sky
230,Miraflores,MX,19.2167,-98.8083,73.02,37,68,2.71,broken clouds
